secret_column,known_columns,num_known_columns,base_prec,base_recall,attack_prec,attack_recall,alc,base_count,attack_count,base_ci,base_ci_low,base_ci_high,base_n,attack_ci,attack_ci_low,attack_ci_high,attack_n
EDU,"[""AGEP"", ""DEAR"", ""DEYE"", ""DREM"", ""PINCP"", ""RAC1P"", ""WGTP""]",7,0.3333333333333333,1.0,1.0,1.0,0.8333258334458316,51,51,0.2506169028944068,0.21969931853588515,0.47031622143029195,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51
PINCP,"[""AGEP"", ""DEAR"", ""DEYE"", ""DVET"", ""EDU"", ""PINCP_DECILE"", ""PWGTP""]",7,0.4772727272727273,0.8627450980392157,1.0,0.8627450980392157,0.7613490554709986,51,51,0.28309543407127263,0.33754991032251097,0.6206453443937836,44,0.08029560375848066,0.9197043962415193,1.0,44
PINCP,"[""AGEP"", ""DEAR"", ""DEYE"", ""DVET"", ""EDU"", ""PINCP_DECILE"", ""PWGTP""]",7,0.4791666666666667,0.9411764705882353,1.0,0.9411764705882353,0.7604067188195853,51,51,0.27199451519705586,0.34471316176951616,0.616707676966572,48,0.07410012966611734,0.9258998703338824,0.9999999999999998,48
PINCP,"[""AGEP"", ""DEAR"", ""DEYE"", ""DVET"", ""EDU"", ""PINCP_DECILE"", ""PWGTP""]",7,0.46,0.9803921568627451,1.0,0.9803921568627451,0.7699907290261816,51,51,0.2663147640861818,0.3296965219222435,0.5960112860084253,50,0.07134759913335886,0.9286524008666414,1.0000000000000002,50
PINCP,"[""AGEP"", ""DEAR"", ""DEYE"", ""DVET"", ""EDU"", ""PINCP_DECILE"", ""PWGTP""]",7,0.47058823529411764,1.0,0.9803921568627451,1.0,0.7363743477873739,51,51,0.26423705580403944,0.3405299020949959,0.6047669578990353,51,0.09957599462038891,0.8969543127385502,0.9965303073589391,51
PINCP,"[""AGEP"", ""DEAR"", ""DEYE"", ""EDU"", ""NPF"", ""PINCP_DECILE"", ""PWGTP""]",7,0.5714285714285714,0.9607843137254902,1.0,0.9607843137254902,0.7142739347315361,51,51,0.26706187831101036,0.4327049309001736,0.699766809211184,49,0.07269781922049645,0.9273021807795035,1.0,49
PINCP,"[""AGEP"", ""DEAR"", ""DEYE"", ""EDU"", ""NPF"", ""PINCP_DECILE"", ""PWGTP""]",7,0.5490196078431373,1.0,1.0,1.0,0.7254791093677453,51,51,0.26347772900257166,0.41384708550368815,0.6773248145062598,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51
NOC,"[""AGEP"", ""DEAR"", ""DEYE"", ""INDP"", ""POVPIP"", ""PUMA"", ""PWGTP""]",7,0.62,0.9803921568627451,1.0,0.9803921568627451,0.6899868274860749,51,51,0.2598676375881343,0.4815044693099298,0.7413721068980641,50,0.07134759913335886,0.9286524008666414,1.0000000000000002,50
NOC,"[""AGEP"", ""DEAR"", ""DEYE"", ""INDP"", ""POVPIP"", ""PUMA"", ""PWGTP""]",7,0.6078431372549019,1.0,1.0,1.0,0.6960656816976657,51,51,0.25887500034291844,0.4708515898394834,0.7297265901824018,51,0.07004661989853167,0.9299533801014686,1.0000000000000002,51
INDP,"[""AGEP"", ""DEAR"", ""DPHY"", ""INDP_CAT"", ""PINCP"", ""POVPIP"", ""WGTP""]",7,0.58,0.9803921568627451,1.0,0.9803921568627451,0.7099880816026889,51,51,0.26391554876709783,0.44233441768578236,0.7062499664528802,50,0.07134759913335886,0.9286524008666414,1.0000000000000002,50
